,,专业类别,专业名称,人气值,壹心理
0,哲学,哲学类,哲学,53233,S
1,哲学,哲学类,逻辑学,23712,S
2,哲学,哲学类,宗教学,14406,S
3,经济学,经济学类,经济学,15822,I
4,经济学,经济学类,经济统计学,5655,I
5,经济学,财政学类,财政学,59507,I
6,经济学,财政学类,税收学,4575,I
7,经济学,金融学类,金融学,11845,I
8,经济学,金融学类,金融工程,50002,I、R
9,经济学,金融学类,保险学,3591,I
10,经济学,金融学类,投资学,21346,I
11,经济学,经济与贸易类,国际经济与贸易,17079,R
12,经济学,经济与贸易类,贸易经济,20024,S
13,法学,法学类,法学,11397,I
14,法学,政治学类,政治学与行政学,3583,S
15,法学,政治学类,国际政治,9272,S
16,法学,政治学类,外交学,7733,S
17,法学,社会学类,社会学,15100,S
18,法学,社会学类,社会工作,17314,S
19,法学,民族学类,民族学,10048,R
20,法学,马克思主义理论类,科学社会主义,2546,S
21,法学,马克思主义理论类,中国共产党历史,2560,S
22,法学,马克思主义理论类,思想政治教育,4115,S
23,法学,公安学类,治安学,5424,R
24,法学,公安学类,侦查学,18896,R
25,法学,公安学类,边防管理,3235,R
26,教育学,教育学类,教育学,8484,S
27,教育学,教育学类,科学教育,7681,S
28,教育学,教育学类,人文教育,16242,S
29,教育学,教育学类,教育技术学,3511,S
30,教育学,教育学类,艺术教育,10973,S
31,教育学,教育学类,学前教育,24520,S
32,教育学,教育学类,小学教育,28799,S
33,教育学,体育学类,体育教育,19281,S
34,教育学,体育学类,运动训练,6553,S
35,教育学,体育学类,社会体育指导与管理,21661,S
36,教育学,体育学类,武术与民族传统体育,21283,S
37,教育学,体育学类,运动人体科学,2885,S
38,文学,中国语言文学类,汉语言文学,26214,A
39,文学,中国语言文学类,汉语言,22231,A
40,文学,中国语言文学类,汉语国际教育,22477,A
41,文学,中国语言文学类,中国少数民族语言文学,3688,A
42,文学,中国语言文学类,古典文献学,21592,A
43,文学,外国语言文学类,英语,27239,A
44,文学,外国语言文学类,俄语,21935,A
45,文学,外国语言文学类,德语,9819,A
46,文学,外国语言文学类,法语,22379,A
47,文学,外国语言文学类,西班牙语,9881,A
48,文学,外国语言文学类,阿拉伯语,5418,A
49,文学,外国语言文学类,日语,23348,A
50,文学,外国语言文学类,波斯语,3577,A
51,文学,外国语言文学类,朝鲜语,4928,A
52,文学,外国语言文学类,菲律宾语,1318,A
53,文学,外国语言文学类,印度尼西亚语,1408,A
54,文学,外国语言文学类,印地语,1454,A
55,文学,外国语言文学类,柬埔寨语,1434,A
56,文学,外国语言文学类,老挝语,1621,A
57,文学,外国语言文学类,缅甸语,1971,A
58,文学,外国语言文学类,马来语,1430,A
59,文学,外国语言文学类,蒙古语,1519,A
60,文学,外国语言文学类,僧伽罗语,21170,A
61,文学,外国语言文学类,泰语,2129,A
62,文学,外国语言文学类,乌尔都语,1344,A
63,文学,外国语言文学类,希伯来语,21155,A
64,文学,外国语言文学类,越南语,1763,A
65,文学,外国语言文学类,豪萨语,2979,A
66,文学,外国语言文学类,斯瓦希里语,1537,A
67,文学,外国语言文学类,阿尔巴尼亚语,2299,A
68,文学,外国语言文学类,保加利亚语,1961,A
69,文学,外国语言文学类,波兰语,2563,A
70,文学,外国语言文学类,捷克语,2408,A
71,文学,外国语言文学类,斯洛伐克语,21078,A
72,文学,外国语言文学类,罗马尼亚语,1732,A
73,文学,外国语言文学类,葡萄牙语,2650,A
74,文学,外国语言文学类,瑞典语,4168,A
75,文学,外国语言文学类,塞尔维亚语,1787,A
76,文学,外国语言文学类,土耳其语,2637,A
77,文学,外国语言文学类,希腊语,21091,A
78,文学,外国语言文学类,匈牙利语,2319,A
79,文学,外国语言文学类,意大利语,2509,A
80,文学,外国语言文学类,泰米尔语,2707,A
81,文学,外国语言文学类,普什图语,7749,A
82,文学,外国语言文学类,世界语,35015,A
83,文学,外国语言文学类,孟加拉语,3244,A
84,文学,外国语言文学类,尼泊尔语,2639,A
85,文学,外国语言文学类,克罗地亚语,1897,A
86,文学,外国语言文学类,荷兰语,2616,A
87,文学,外国语言文学类,芬兰语,3423,A
88,文学,外国语言文学类,乌克兰语,2341,A
89,文学,外国语言文学类,挪威语,4057,A
90,文学,外国语言文学类,丹麦语,2797,A
91,文学,外国语言文学类,冰岛语,6472,A
92,文学,外国语言文学类,爱尔兰语,21067,A
93,文学,外国语言文学类,拉脱维亚语,21071,A
94,文学,外国语言文学类,立陶宛语,21080,A
95,文学,外国语言文学类,斯洛文尼亚语,21081,A
96,文学,外国语言文学类,爱沙尼亚语,21069,A
97,文学,外国语言文学类,马耳他语,21067,A
98,文学,外国语言文学类,哈萨克语,21076,A
99,文学,外国语言文学类,乌兹别克语,21068,A
100,文学,外国语言文学类,祖鲁语,21088,A
101,文学,外国语言文学类,拉丁语,21114,A
102,文学,外国语言文学类,翻译,22724,A
103,文学,外国语言文学类,商务英语,22496,A
104,文学,新闻传播学类,新闻学,23275,A
105,文学,新闻传播学类,广播电视学,22247,A
106,文学,新闻传播学类,广告学,13908,A
107,文学,新闻传播学类,传播学,22088,A
108,文学,新闻传播学类,编辑出版学,21825,A
109,历史学,历史学类,历史学,24066,S
110,历史学,历史学类,世界史,21754,S
111,历史学,历史学类,考古学,28988,S
112,历史学,历史学类,文物与博物馆学,22088,S
113,理学,数学类,数学与应用数学,26166,I
114,理学,数学类,信息与计算科学,25387,I
115,理学,物理学类,物理学,24263,I
116,理学,物理学类,应用物理学,18074,I
117,理学,物理学类,核物理,8277,I
118,理学,化学类,化学,23331,I
119,理学,化学类,应用化学,16393,I
120,理学,天文学类,天文学,10143,0
121,理学,地理科学类,地理科学,22704,I、R
122,理学,地理科学类,自然地理与资源环境,21938,I、R
123,理学,地理科学类,人文地理与城乡规划,22244,I、R
124,理学,地理科学类,地理信息科学,22035,I、R
125,理学,大气科学类,大气科学,5296,I
126,理学,大气科学类,应用气象学,9915,I
127,理学,海洋科学类,海洋科学,5529,I、R
128,理学,海洋科学类,海洋技术(注：可授理学或工学学士学位),5528,I、R
129,理学,地球物理学类,地球物理学,7017,I
130,理学,地球物理学类,空间科学与技术,5047,I
131,理学,地质学类,地质学,10548,I
132,理学,地质学类,地球化学,2655,I
133,理学,生物科学类,生物科学,23676,I
134,理学,生物科学类,生物技术,22899,I
135,理学,生物科学类,生物信息学,5351,I
136,理学,生物科学类,生态学,5282,I
137,理学,心理学类,心理学,26621,R、I
138,理学,心理学类,应用心理学,24486,R、I
139,理学,统计学类,统计学,11308,I
140,工学,力学类,理论与应用力学,4330,I
141,工学,力学类,工程力学,7542,I
142,工学,机械类,机械工程,23920,R
143,工学,机械类,机械设计制造及其自动化,118268,R
144,工学,机械类,材料成型及控制工程,8438,R
145,工学,机械类,机械电子工程,20205,R
146,工学,机械类,工业设计,22944,I、R
147,工学,机械类,过程装备与控制工程,9477,R
148,工学,机械类,车辆工程,36425,R
149,工学,机械类,汽车服务工程,10892,R
150,工学,仪器类,测控技术与仪器,9317,I
151,工学,材料类,材料科学与工程,14672,I
152,工学,材料类,材料物理,21371,I
153,工学,材料类,材料化学,21715,I
154,工学,材料类,冶金工程,5180,I
155,工学,材料类,金属材料工程,8786,I
156,工学,材料类,无机非金属材料工程,7150,I
157,工学,材料类,高分子材料与工程,21421,I
158,工学,材料类,复合材料与工程,5613,I
159,工学,能源动力类,能源与动力工程,21853,I
160,工学,电气类,电气工程及其自动化,124301,I
161,工学,电子信息类,电子信息工程,25584,I
162,工学,电子信息类,电子科学与技术,15795,I
163,工学,电子信息类,通信工程,23688,I
164,工学,电子信息类,微电子科学与工程,21508,I
165,工学,电子信息类,光电信息科学与工程,21475,I
166,工学,电子信息类,信息工程,21633,I
167,工学,自动化类,自动化,34918,R
168,工学,计算机类,计算机科学与技术,30604,I
169,工学,计算机类,软件工程,26413,I
170,工学,计算机类,网络工程,22518,I
171,工学,计算机类,信息安全,15079,I
172,工学,计算机类,物联网工程,23463,I
173,工学,计算机类,数字媒体技术,12736,I
174,工学,土木类,土木工程,94482,I
175,工学,土木类,建筑环境与能源应用工程,21485,I
176,工学,土木类,给排水科学与工程,9478,I
177,工学,土木类,建筑电气与智能化,7198,I
178,工学,水利类,水利水电工程,8865,R
179,工学,水利类,水文与水资源工程,20865,R
180,工学,水利类,港口航道与海岸工程,3860,R
181,工学,测绘类,测绘工程,12309,I
182,工学,测绘类,遥感科学与技术,5801,I
183,工学,化工与制药类,化学工程与工艺,9980,I
184,工学,化工与制药类,制药工程,9194,I
185,工学,地质类,地质工程,7504,I
186,工学,地质类,勘查技术与工程,5704,I
187,工学,地质类,资源勘查工程,6261,I
188,工学,矿业类,采矿工程,16821,I
189,工学,矿业类,石油工程,14801,I
190,工学,矿业类,矿物加工工程,4154,I
191,工学,矿业类,油气储运工程,5287,I
192,工学,纺织类,纺织工程,3430,R、I
193,工学,纺织类,服装设计与工程,9901,R
194,工学,轻工类,轻化工程,4145,R
195,工学,轻工类,包装工程,4279,A
196,工学,轻工类,印刷工程,2329,R
197,工学,交通运输类,交通运输,9334,R、I
198,工学,交通运输类,交通工程,9533,R、I
199,工学,交通运输类,航海技术,19253,I
200,工学,交通运输类,轮机工程,10183,R、I
201,工学,交通运输类,飞行技术,6020,R、I
202,工学,海洋工程类,船舶与海洋工程,5493,I、R
203,工学,航空航天类,航空航天工程,144508,I、R
204,工学,航空航天类,飞行器设计与工程,7533,I、R
205,工学,航空航天类,飞行器制造工程,6290,I、R
206,工学,航空航天类,飞行器动力工程,8833,I、R
207,工学,航空航天类,飞行器环境与生命保障工程,2884,I、R
208,工学,兵器类,武器系统与工程,4855,I
209,工学,兵器类,武器发射工程,20808,I
210,工学,兵器类,探测制导与控制技术,2918,I
211,工学,兵器类,弹药工程与爆炸技术,3735,I
212,工学,兵器类,特种能源技术与工程,20796,I
213,工学,兵器类,装甲车辆工程,20830,I
214,工学,兵器类,信息对抗技术,6355,I
215,工学,核工程类,核工程与核技术,10795,I
216,工学,核工程类,辐射防护与核安全,20762,I
217,工学,核工程类,工程物理,6058,I
218,工学,农业工程类,农业工程,2412,I
219,工学,农业工程类,农业机械化及其自动化,3894,I
220,工学,农业工程类,农业电气化,20768,I
221,工学,农业工程类,农业建筑环境与能源工程,2768,I
222,工学,农业工程类,农业水利工程,2980,I
223,工学,林业工程类,森林工程,2096,I
224,工学,林业工程类,木材科学与工程,3367,I
225,工学,林业工程类,林产化工,4825,I
226,工学,环境科学与工程类,环境科学与工程,7711,I、R
227,工学,环境科学与工程类,环境工程,21981,I、R
228,工学,环境科学与工程类,环境科学,21304,I、R
229,工学,环境科学与工程类,环境生态工程,21007,I、R
230,工学,生物医学工程类,生物医学工程,13622,I
231,工学,食品科学与工程类,食品科学与工程,10849,I
232,工学,食品科学与工程类,食品质量与安全,20952,I
233,工学,食品科学与工程类,粮食工程,2436,I
234,工学,食品科学与工程类,乳品工程,20756,I
235,工学,食品科学与工程类,酿酒工程,3958,I
236,工学,建筑类,建筑学,60363,R
237,工学,建筑类,城乡规划,21674,R
238,工学,建筑类,风景园林,12723,R
239,工学,安全科学与工程类,安全工程,7596,I
240,工学,生物工程类,生物工程,21880,I
241,工学,公安技术类,刑事科学技术,20927,I
242,工学,公安技术类,消防工程,5565,R
243,农学,植物生产类,农学,18788,S、R
244,农学,植物生产类,园艺,15147,S、R
245,农学,植物生产类,植物保护,7457,I
246,农学,植物生产类,植物科学与技术,5346,I
247,农学,植物生产类,种子科学与工程,4839,I
248,农学,植物生产类,设施农业科学与工程,4680,I
249,农学,自然保护与环境生态类,农业资源与环境,5324,S
250,农学,自然保护与环境生态类,野生动物与自然保护区管理,6894,S
251,农学,自然保护与环境生态类,水土保持与荒漠化防治,6190,S
252,农学,动物生产类,动物科学,6828,I
253,农学,动物医学类,动物医学,12501,I
254,农学,动物医学类,动物药学,20699,I
255,农学,林学类,林学,5532,R
256,农学,林学类,园林,10703,R
257,农学,林学类,森林保护,20892,R
258,农学,水产类,水产养殖学,4358,I
259,农学,水产类,海洋渔业科学与技术,4044,I
260,农学,草学类,草业科学,3618,I
261,医学,基础医学类,基础医学,60734,A
262,医学,临床医学类,临床医学,223112,I
263,医学,口腔医学类,口腔医学,143980,I
264,医学,公共卫生与预防医学类,预防医学,20733,I
265,医学,公共卫生与预防医学类,食品卫生与营养学,21314,I、S
266,医学,中医学类,中医学,236077,I
267,医学,中医学类,针灸推拿学,9448,I
268,医学,中医学类,藏医学,3382,I
269,医学,中医学类,蒙医学,3916,I
270,医学,中医学类,维医学,3262,I
271,医学,中医学类,壮医学,20699,I
272,医学,中医学类,哈医学,20713,I
273,医学,中西医结合类,中西医临床医学,22471,I
274,医学,药学类,药学,33834,I
275,医学,药学类,药物制剂,8119,I
276,医学,中药学类,中药学,21042,I
277,医学,中药学类,中药资源与开发,3066,I
278,医学,法医学类,法医学,15159,I
279,医学,医学技术类,医学检验技术,21604,I
280,医学,医学技术类,医学实验技术,20917,I
281,医学,医学技术类,医学影像技术,21415,I
282,医学,医学技术类,眼视光学,11897,I
283,医学,医学技术类,康复治疗学,11835,I
284,医学,医学技术类,口腔医学技术,21384,I
285,医学,医学技术类,卫生检验与检疫,20880,I
286,医学,护理学类,护理学,119583,S
287,管理学,管理科学与工程类,管理科学,21797,E
288,管理学,管理科学与工程类,信息管理与信息系统,22629,E
289,管理学,管理科学与工程类,工程管理,25913,E
290,管理学,管理科学与工程类,房地产开发与管理,21157,E
291,管理学,管理科学与工程类,工程造价,40975,E
292,管理学,工商管理类,工商管理,77658,E
293,管理学,工商管理类,市场营销,57655,E
294,管理学,工商管理类,会计学,24512,E
295,管理学,工商管理类,财务管理,22794,E
296,管理学,工商管理类,国际商务,12920,E
297,管理学,工商管理类,人力资源管理,23285,E
298,管理学,工商管理类,审计学,25825,E
299,管理学,工商管理类,资产评估,6853,E
300,管理学,工商管理类,物业管理,5612,E
301,管理学,工商管理类,文化产业管理,21541,E
302,管理学,农业经济管理类,农林经济管理,4379,I
303,管理学,农业经济管理类,农村区域发展,4147,I
304,管理学,公共管理类,公共事业管理,21480,E
305,管理学,公共管理类,行政管理,34923,E
306,管理学,公共管理类,劳动与社会保障,12593,E
307,管理学,公共管理类,土地资源管理,5800,E
308,管理学,公共管理类,城市管理,7843,E
309,管理学,图书情报与档案管理类,图书馆学,10230,E
310,管理学,图书情报与档案管理类,档案学,11623,E
311,管理学,图书情报与档案管理类,信息资源管理,12224,E
312,管理学,物流管理与工程类,物流管理,22298,E
313,管理学,物流管理与工程类,物流工程,7959,E
314,管理学,工业工程类,工业工程,11268,I
315,管理学,电子商务类,电子商务,23785,C
316,管理学,旅游管理类,旅游管理,22364,E
317,管理学,旅游管理类,酒店管理,21699,E
318,管理学,旅游管理类,会展经济与管理,21009,E
319,艺术学,艺术学理论类,艺术史论,21171,A
320,艺术学,音乐与舞蹈学类,音乐表演,11538,A
321,艺术学,音乐与舞蹈学类,音乐学,15565,A
322,艺术学,音乐与舞蹈学类,作曲与作曲技术理论,4532,A
323,艺术学,音乐与舞蹈学类,舞蹈表演,21095,A
324,艺术学,音乐与舞蹈学类,舞蹈学,4380,A
325,艺术学,音乐与舞蹈学类,舞蹈编导,20664,A
326,艺术学,戏剧与影视学类,表演,8225,A
327,艺术学,戏剧与影视学类,戏剧学,3596,A
328,艺术学,戏剧与影视学类,电影学,21035,A
329,艺术学,戏剧与影视学类,戏剧影视文学,6837,A
330,艺术学,戏剧与影视学类,广播电视编导,16407,A
331,艺术学,戏剧与影视学类,戏剧影视导演,20940,A
332,艺术学,戏剧与影视学类,戏剧影视美术设计,8644,A
333,艺术学,戏剧与影视学类,录音艺术,5676,A
334,艺术学,戏剧与影视学类,播音与主持艺术,21786,A
335,艺术学,戏剧与影视学类,动画,9634,A
336,艺术学,美术学类,美术学,11667,A
337,艺术学,美术学类,绘画,7577,A
338,艺术学,美术学类,雕塑,3121,A
339,艺术学,美术学类,摄影,12900,A
340,艺术学,设计学类,艺术设计学,33742,A
341,艺术学,设计学类,视觉传达设计,22240,A
342,艺术学,设计学类,环境设计,21895,A
343,艺术学,设计学类,产品设计,21423,A
344,艺术学,设计学类,服装与服饰设计,21457,A
345,艺术学,设计学类,公共艺术,20853,A
346,艺术学,设计学类,工艺美术,21004,A
347,艺术学,设计学类,数字媒体艺术,12459,S
